"Rating","Comment","Author","Date","Verified?"
"5","the entire experience was 5 stars and the microscope works great.","the entire experience was 5 stars and the microscope works great.","3/7/2024","Verified"
"5","Easy to use great picture. You will like this.","Andrew","1/17/2024","Verified"
"5","8.5 on a scale of 1 to ten. An easier to understand operator booklet.","Ross","1/17/2024","Verified"
"5","great purchase great product, easy to use.","Rachel","12/18/2023","Verified"
"5","it's exactly like it's described and the magnification and clarification on it is awesome! I use it for coins jewelry or whatever they need. works great!","Jill","12/23/2023","Verified"
"5","D Truong My order came on time exactly what I ordered. I really like it. Thank you","Dan","12/25/2023","Verified"
"5","Highly Recommended! I highly recommend this microscope to any child or teen wanting to become a scientist or that just loves nature! Even adults. It has a very clear view and if you have eyesight problems this is the way to go! We can all look at what's under the scope together! It has features to video or take pics but you need an sd card. It has so many settings to choose from and all together I'm so happy I went with this model!","AvidWalMartShopper","1/8/2024","Verified"
"3","owner the coloro when on isnt right.","stevea","1/27/2024","Verified"
"3","fair I don't like the fact that it's not very good to look at the coins in full","Gary","1/19/2024","Verified"
"1","Appears used. I was so disapointed today when i got my product. The deluvery was fast as always, however the product seemed to be used. I took puctures. For $50 dollars, a used anything is not cool. So unhappy with that. But I love you walmart! Your still my favorite! I dont shop those other places.","Doug","12/11/2022","Verified"
"1","Not a good buy Was definitely used. Charging port dont work very well. Seemed dirty.","Shelly","12/17/2023","Verified"
"3","3stars Not as clear as I hoped but nice","Tony","1/7/2024","Verified"
"5","coin microscope I got exactly what I wanted in a timely manner","Dwayne","9/16/2023","Verified"
"5","excellent excellent product. Very useful. Product is like walmart description","lory","10/21/2023","Verified"
"5","niiice love it. it's so clear and focused. just wish frame was bigger","mema212","8/22/2023","Verified"
"5","Very Happy!! I ordered a elikivi coin microscope and I love it!!Makes searching for errors much easier.","Kerrie","8/31/2023","Verified"
"4","it is okay not as clear image as i would like.","Rhonda","9/2/2023","Verified"
"5","great for seeing coins and old money","linda","8/29/2023","Verified"
"4","Light on and off Light would go on but after only about 15 sec, would go off. I would request to send it back for a refund.","Duane","5/16/2023","Verified"
"5","Cool tool Price quality just right for my use bub","John5star","6/14/2023","Verified"
"5","the entire experience was 5 stars and the microscope works great.","the entire experience was 5 stars and the microscope works great.","3/7/2024","Verified"
"5","Easy to use great picture. You will like this.","Andrew","1/17/2024","Verified"
"5","8.5 on a scale of 1 to ten. An easier to understand operator booklet.","Ross","1/17/2024","Verified"
"5","great purchase great product, easy to use.","Rachel","12/18/2023","Verified"
"5","it's exactly like it's described and the magnification and clarification on it is awesome! I use it for coins jewelry or whatever they need. works great!","Jill","12/23/2023","Verified"
"5","D Truong My order came on time exactly what I ordered. I really like it. Thank you","Dan","12/25/2023","Verified"
